district_name_en,district_name_ar,city_name_en,city_name_ar,province_name_en,province_name_ar
Shiraf Dist.,حي شراف,Jalajil,جلاجل,Riyadh,منطقة الرياض
An Namudhajiyah Dist.,حي النموذجية,Jalajil,جلاجل,Riyadh,منطقة الرياض
Al Jazur Dist.,حي الجزر,Jalajil,جلاجل,Riyadh,منطقة الرياض
New Industrial Dist.,حي الصناعية الجديدة,Jalajil,جلاجل,Riyadh,منطقة الرياض
Al Shuaibah Dist.,حي الشعيبة,Jalajil,جلاجل,Riyadh,منطقة الرياض
Al Wusta Dist.,حي الوسطة,Jalajil,جلاجل,Riyadh,منطقة الرياض
Al Shamalia Dist.,حي الشمالية,Jalajil,جلاجل,Riyadh,منطقة الرياض
Al Yasmin Dist.,حي الياسمين,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Ash Shibilyah Dist.,حي الشبيلية,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Al Aziziyah Dist.,حي العزيزية,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Ar Rabah Dist.,حي الربعة,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Goverment Departments Dist.,حي الدوائر الحكومية,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Al Qadisiyah Dist.,حي القادسية,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Badr Dist.,حي بدر,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Ash Shifa Dist.,حي الشفا,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
An Nuzhah Dist.,حي النزهة,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Al Masif Dist.,حي المصيف,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Al Halah At Taliyah Dist.,حي الحلة الطالعية,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
Al Fath Dist.,حي الفتح,Hawtat Sudair,حوطة سدير,Riyadh,منطقة الرياض
